# Exported with SCiLS Lab Version 9.00.12376
# Export time: 2021-06-28 12:49:12
# Generated from file: Y:\Ellin\2021\2021-06-05 MB posMS lipids_DHAsublim.slx
# Object Full Name: PCA_06-05-2021_MB_Imaging
# Object ID: 4bc6ff20-b56f-4d2f-8ce6-2354ad0fbddf
# Object type: PCA
# Object creation time: 2021-06-28 12:48:23
#
Spot index;Coefficient 1;Coefficient 2;Coefficient 3;Coefficient 4;Coefficient 5
29;-15225293.3376321;-7605094.55868331;-41855071.2384347;-97430.8050629981;-3659646.95295349
30;-34501557.4955566;-5692781.22735701;-28792277.7748205;-1018010.12868871;-1725339.51219807
31;-31847629.039498;-4215721.67152961;-26114335.2483917;-923481.749449163;-1137380.04689093
32;-6188020.60714809;-5182915.79126742;-25009118.6049384;-1587021.71498184;-242277.877813585
33;10489339.2175474;-6296113.93777167;-23432555.3467273;-1497547.41837724;39582.6242582327
34;26233610.1125837;-5288429.09796599;-21645728.2341853;-2720063.2855812;640283.188750865
35;23636645.0654635;82760.6706146023;-17316369.5392029;-2241972.59628213;-216724.790039155
36;37542465.3503691;2213104.5631722;-21584023.3965569;-2242717.61400077;-1045047.41974442
37;96399861.0306491;17022302.4881172;-36902375.4890828;-2586933.04791503;-4085838.61911973
38;37221603.7323373;5464116.10937379;-19500989.8313986;-2286875.39937843;-941359.292192995
39;46397456.6039583;7345455.0935069;-18223614.3572419;-2927343.72516391;-1026572.25298242
40;44871262.1446038;5058428.82983098;-18316048.0720613;-2309868.71024182;-1175589.47886885
41;68642936.4405443;8269298.71472065;-23182560.2574644;-2725399.69230675;-1481259.55475665
42;26630392.4871102;6168910.22196687;-20176176.6065005;-2383817.53343034;-1034702.58609525
43;42970635.993716;6008777.67998027;-20799442.4128012;-2936405.18709416;-1606919.23036341
44;29945307.4303305;7774590.74688195;-18135384.3509996;-2864854.276565;-1212138.361637
45;49515046.843807;6648065.47872246;-17723367.0685916;-3165740.69078874;-1151192.64837871
46;56848318.6740151;6176959.04366986;-26232291.4770485;-2370262.44138561;-2578184.52955125
47;58315043.4301459;7762003.53277654;-31870090.3204562;-2019781.43370944;-2595385.4562632
48;65634121.7118973;18876045.7690802;-35730669.053155;-1969097.14923698;-4117976.49565188
49;55616803.9293554;16853098.0615296;-39754990.8433255;-1719349.03729544;-4727087.7175488
50;106080541.644094;9476737.48672695;-71690910.1328551;634401.792487849;-8516863.04498589
51;14440327.7079449;9288591.64539026;-50962943.1969594;921398.801447994;-7015128.39582243
52;28182514.1319922;25108578.3022972;-52980032.3342196;1446172.65015558;-6611079.45561119
53;-31312209.4979846;23469812.8386575;-21147965.9422031;-1062895.5535067;-1625106.86565439
54;-83765009.3273104;2029733.77988253;-18705651.0980657;-140002.919286417;-1284502.24762688
55;-76948645.6108595;3331484.96163738;-19840720.4994125;-110431.055903016;-1434070.60982844
56;-32703841.4294556;14872353.5686533;-33096365.410195;247478.018444349;-2798417.33268747
57;122394474.972437;31773764.3120532;-75253144.8721015;1614210.15364282;-6174146.9753463
58;107249275.901527;-2943172.27376291;-90170196.4635412;2163777.19371963;-10488139.9606938
59;6782204.23455121;-6801512.68656863;-42518300.5069745;-736482.438951007;-3035277.17457181
60;5409405.29603308;-4153000.01349545;-22146455.4682756;-1538229.54536608;212271.186169173
61;27342548.4077526;-3650263.45708474;-29345208.6590321;-2152664.35199599;-653725.437863693
62;15799501.8213018;1150943.9745667;-19644106.7474944;-2009432.13992807;34573.3238458813
63;22863421.1010755;57050.5494336301;-23125353.0559762;-2030965.3243097;-175915.834094355
64;23048399.757232;-875884.231434639;-22906409.7667662;-2131184.17978014;243093.380774588
65;28955711.9571649;-468496.085985084;-23525248.0973876;-2311394.08601095;652462.818314136
66;39288455.8869348;3551192.89623201;-21647209.0824013;-2589024.15365302;-128787.271248112
67;52225723.1842116;6061443.67587716;-22121495.5748601;-2550260.86601049;305196.583967619
68;68070763.521744;6831779.03029395;-23919476.2956384;-1972194.74290609;-216425.641245997
69;67793785.463396;9277092.24906465;-21284390.8509768;-2892078.94043569;-834792.20728014
70;76780898.1148612;9856654.09480357;-17443686.9854357;-3250110.50843758;-1506622.47908823
71;67279167.2377631;9019238.19689036;-21706177.6591064;-2544889.96135196;-1819727.91611739
72;83660570.2815499;9266719.60004595;-20237801.0873949;-3075656.12597145;-1343665.39480014
73;67869021.5189805;6757811.26860924;-19973373.403199;-2731772.85649695;-1427996.49991146
74;64314903.2467467;7978545.00204059;-19518604.5647562;-2932809.82616062;-1752176.94700677
75;49979633.700509;8582816.74628161;-18209802.8289453;-2803920.34343449;-1178658.62895384
76;57073298.5713655;6896900.77641364;-20258685.6823245;-2604783.98134138;-1733306.64369091
77;60187625.0946705;10064220.9942101;-18542200.5095265;-3335248.08640311;-1736768.37289886
78;76084450.8954983;9386747.63078969;-18966172.4763679;-3114016.79303113;-1620298.49238903
79;75541246.562114;8128964.10542556;-19285878.895881;-2761468.01687008;-1712117.18265429
80;79584984.4153816;6516927.92711058;-20084284.4547329;-2938864.36832922;-1087700.82396771
81;76427826.1906139;2369526.60132906;-22622561.9475176;-2817290.97135734;-556945.259052401
82;45784541.47554;6752689.04639399;-18490640.3389737;-2517452.84780355;-1230889.29338547
83;48894197.1383908;3857651.64750332;-17868366.5463228;-1977953.37176703;-1496632.30056806
84;51598762.2762462;1896808.74965408;-13025129.7673041;-2252751.32646723;-1137006.78716913
85;118729195.821646;17796362.147323;-30205096.9447353;-2544808.42451047;-4266238.5286099
86;113233464.574559;21383051.5698049;-36132958.8604613;-2217461.18460364;-5074325.19557058
87;119055554.208902;40119858.9572615;-39681062.4269288;-2180095.39702798;-4631819.7703146
88;123860188.075677;32754803.3579803;-37949561.6877505;-1823134.04582107;-4332195.12227819
89;42145362.1032712;35698466.2741986;-23353930.439523;-1373398.74025731;-3969547.37794773
90;-44710868.8332539;32354686.4075118;12650162.4253543;-2128057.71401773;-3065076.08979477
91;-36628068.3357817;38031831.3379632;2947239.86967434;-1906261.83532622;757027.917120372
92;-82958965.594778;1432370.08342623;-16965001.3279147;-90595.3353966723;-1902831.74996965
93;-78940466.6369517;5074992.77491151;-14873008.9251698;-300415.40131024;-1772821.46802386
94;-10118447.8186132;22999712.6623042;-41689131.7171514;-512099.335535968;-5801569.96374445
95;33851954.9505235;25372523.0900788;-55825483.4135507;688023.864025009;-7398355.57448536
96;106851844.218812;24404603.1614411;-61158840.1706234;1338957.58451364;-4358212.32126985
97;59545048.9404101;4699104.85397535;-31023750.4785406;-1039082.16442079;26261.4062903298
98;30134094.0725545;2012584.88881144;-19293073.5445061;-1054919.09532201;1480695.74699182
99;57374560.3669231;2477515.05881948;-21610220.9122039;-2094841.15278022;2230466.40762971
100;88921239.3035604;-408629.439934692;-67207331.4382024;214703.85109982;-6575700.29522974
101;35407603.4362481;5888188.31120881;-19457704.0544247;-1866705.89138368;1520832.35819744
102;69633066.4129835;8635314.05719885;-18763021.7424554;-2380284.0537289;1743562.74782463
103;67090322.1220691;7244310.98765077;-16466651.0740468;-2687349.30663585;1805429.57290958
104;61887963.9800656;10502249.4132876;-16702873.5972093;-2871510.90544599;1010410.46114294
105;43378966.7919295;9231071.91871353;-15929549.6404011;-2502953.83705846;599390.44565814
106;69906379.2160237;7950339.98232222;-20205582.2512857;-2908679.08647634;-64696.1785476753
107;71000734.5105659;7848174.80873936;-21330208.071395;-2637251.8797011;-291100.821597313
108;64330964.4261208;10096491.8303058;-19468245.9811436;-2861413.5191967;-706529.481934948
109;80503031.4610888;10122710.0964226;-22212769.5584839;-2624340.49033257;-362006.784513443
110;70278505.5387531;9534454.92996727;-19844720.0658929;-2825925.39414171;-881236.828559165
111;80060662.4624534;4066214.49519362;-22914026.9295671;-3346166.91818941;-773396.219490704
112;75678808.9359325;12009838.387018;-16672433.5634074;-3082877.93343639;-2429828.39395313
113;76365526.1139172;12090562.4323346;-13075831.9744604;-4019392.12515079;-1763318.45155546
114;86671541.0301363;7586015.34933557;-18503552.3813715;-3570101.76002792;-2437375.05495204
115;71670510.6498422;9280352.34734495;-17336657.1785841;-3022125.72026847;-2268599.64384396
116;73582162.1828747;8429402.24628236;-18354805.6266141;-3053008.67975401;-2599388.74008127
117;86241586.8741489;5983545.66091665;-20429157.6284041;-3631869.56471481;-2747044.13698436
118;68375289.2488213;8522089.84706437;-19843184.5554332;-2901770.85674406;-2993379.45168744
119;69850345.1688878;6607099.73055789;-19987131.4304053;-3232426.75378163;-2899398.7447956
120;62139171.8319105;8318310.01896383;-16894776.3544776;-3205244.25386272;-2223234.04107789
121;76095555.3943363;8665115.58976758;-18905024.767697;-2808692.51413405;-2409811.19063222
122;77504303.5503624;9750405.40551721;-14236100.2830459;-3419696.86366924;-2691238.62444918
